Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROIC %,WACC %,Effective Interest Rate on Debt %,Net Interest Margin (Bank Only) %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Asset Turnover,Dividend Payout Ratio,Interest Income,Interest Expense,Net Interest Income,Non Interest Income,Revenue,Credit Losses Provision,"Selling, General, & Admin. Expense",SpecialCharges,Other Noninterest Expense,Operating Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash and cash equivalents,Money Market Investments,Net Loan,Securities & Investments,Accounts Receivable,Deferred Policy Acquisition Costs,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Assets for Banks,Total Assets,Total Deposits,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Long-Term Debt & Capital Lease Obligation,Minority Interest,Other Liabilities for Banks,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Dec-13,3.855,1.679,1.533,1,1,0,2.691,2.691,0.3,29.27,20.1,39.352,45.4,12.73,1.49,6.41,5.34,2.01,3.21,39.76,27.15,69.79,1.216,0.112,0.136,0.014,0.3,11836,-1033,10803,9862,20665,363,7514,2897,4571,8217,0,-103,8217,-2504,30.47,5713,0,5610,241,1.02,1,5360.7,785,9002,19919,213793,824680,327166,21422,0,9156,48204,25637,59162,1523502,1079177,0,53883,152998,866,66436,1353360,9136,16267,92361,1386,60296,-8104,170142,5713,0,5713,785,202,0,0,-8127,6410,0,385,0,1130,14423,0,0,0,0,-17609,11268,-64,0,-44332,-50737,289,-1378,828,1993,-1748,37321,37305,991,0,14423,11.67,0,1.55,2.26,4.23,4.23,2.91,0.43,5.28,12.33,13.57,7.37,39.32,17.5,2.53,238675.064,442770.064,-253.64,0,-253.68,76.43,40.56,97.25,41.94,10.89,0,0,-2.81,0.241,7.73,0,0,7.95,45.54,40.24,0.31,-6.23,9.89,12.84,26.93,5270.2,5257.16,0.88,2/26/2014,2/24/2016
Mar-14,3.853,1.667,1.56,1.05,1.05,9.786,0.523,0.531,0.3,30.176,22.215,40.079,49.74,12.97,1.54,6.87,5.14,1.91,3.09,40.49,28.57,13.58,1.198,0.114,0.136,0.013,0.286,11612,-997,10615,10010,20625,325,7759,2616,4189,8352,0,-182,8352,-2277,27.26,6075,0,5893,286,1.07,1.05,5353.3,571,8923,19731,222781,829072,334080,0,0,9020,41809,25637,90214,1546707,1094576,0,57061,153422,815,65179,1371053,9136,17179,96368,2752,60618,-8206,175654,6075,0,6075,571,-139,0,0,-2233,-1319,0,692,0,-3178,2841,-40,0,0,0,-14399,11095,-40,0,-14841,-18225,617,-1025,0,2704,-1897,14797,15196,-188,-40,2801,12.37,5.08,1.65,2.24,5.21,5.21,3.21,0.53,5.44,12.44,13.57,7.37,36.46,18.71,2.41,261217.568,452301.568,-253.95,0,-257.22,78.31,40.26,93.02,44.83,14.53,0,0,-2.65,0.241,7.55,0,0,8.38,49.74,44.23,0.1,-2.97,14.13,5.31,23.14,5262.8,5251.66,0.85,5/7/2014,5/6/2015
Jun-14,3.937,1.754,1.618,1.01,1.01,7.734,-0.611,-0.605,0.35,30.879,23.107,43.758,52.56,12.17,1.46,6.52,5.16,1.82,3.06,41.09,27.18,-15.53,1.27,0.113,0.144,0.013,0.347,11793,-1002,10791,10275,21066,217,7635,3043,4559,8655,0,-60,8655,-2869,33.15,5786,0,5726,302,1.02,1.01,5350.8,732,9387,20635,238719,846667,350743,0,0,8977,40801,25705,92332,1598874,1118577,0,61849,167878,690,69021,1418015,9136,18749,99926,4117,59926,-9271,180859,5786,0,5786,732,142,0,0,3662,-1210,0,452,0,-8999,-3239,-32,0,0,0,-18757,12467,-32,0,-28166,-34520,435,-2954,1995,17022,-2020,24185,38663,904,-32,-3271,12.98,6.8,1.7,2.27,8.06,8.04,3.4,0.66,5.73,13,14.15,7.07,30.73,19.3,2.38,275934.218,474357.218,-260.44,0,-264.01,74.25,40.17,79.79,45.89,14.57,0,0,-2.63,0.253,9.57,0,0,8.64,52.98,47.71,0.03,-0.83,3.06,1.8,19.7,5268.4,5249.89,0.89,8/6/2014,8/5/2015
Sep-14,3.995,1.738,1.619,1.02,1.02,8.61,2.827,2.836,0.35,31.275,22.514,47.462,51.87,11.91,1.42,9.44,4.69,1.71,3.26,40.53,27.01,70.78,1.356,0.111,0.151,0.013,0.343,11964,-1023,10941,10272,21213,368,7601,3117,4647,8597,0,-226,8597,-2642,30.73,5955,0,5729,321,1.04,1.02,5310.4,630,9227,242886,34515,855672,359327,26388,0,8768,45691,25705,63608,1636855,1130625,0,62927,184586,509,75727,1454374,9136,19379,103494,3118,60100,-11206,182481,5955,0,5955,630,-551,0,0,7163,16306,0,381,0,-8210,15062,-47,0,0,0,-26840,14064,-47,0,-29660,-42530,324,-2490,780,16306,-2145,12090,24865,-2603,-47,15015,12.71,6.02,1.66,2.3,9.55,9.51,3.32,0.77,3.01,6.89,7.44,13.44,28.57,18.78,2.51,270502.569,251696.569,-224,0,-223.92,79.72,40.66,67.4,45.46,56.77,0,0,-2.54,0.117,8.55,0,0,8.4,53.36,49.7,0.66,4.99,3.03,2.06,16.52,5225.9,5215.01,0.78,11/5/2014,11/4/2015
Dec-14,4.061,1.684,1.574,1.02,1.02,8.26,0.537,0.543,0.35,31.948,23.418,47.862,54.82,11.74,1.37,8.31,4.79,1.62,3.23,38.76,26.62,13.22,1.342,0.109,0.147,0.013,0.343,12183,-1003,11180,10263,21443,485,7875,3123,4772,8311,0,-83,8311,-2519,30.31,5792,0,5709,327,1.04,1.02,5280,582,8893,19571,258429,870490,391180,27151,0,8743,44103,25705,67488,1687155,1168310,0,63518,183943,868,86122,1502761,9136,19213,107040,3518,60537,-13690,184394,5792,0,5792,582,176,0,0,-1814,4377,0,387,0,-8273,2865,-31,0,0,0,-34910,14049,-31,0,-12182,-33105,464,-2945,0,-1672,-2081,38013,31779,1539,-31,2834,13.37,6.64,1.72,2.34,16.73,16.59,3.46,0.97,6.3,14.59,15.67,6.38,24.76,19.77,2.46,283438.587,531409.587,-286.86,0,-286.64,86.42,41.2,56.25,46.48,7.71,0,0,-2.22,0.252,7.94,0,0,8.29,55.71,47.85,0.86,5.34,2,0.3,13.72,5192.2,5170.35,0.88,2/25/2015,3/1/2017
Mar-15,4.058,1.695,1.557,1.04,1.04,9.898,0.476,0.48,0.35,32.416,24.895,50.721,54.4,11.71,1.36,6.06,4.46,1.54,2.85,38.36,27.28,11.72,1.382,0.109,0.15,0.012,0.337,11963,-977,10986,10292,21278,608,8261,2717,4246,8163,0,-80,8163,-2279,27.92,5884,0,5804,343,1.06,1.04,5243.6,727,8890,19793,291317,873342,404014,0,0,8696,38696,25705,101879,1737737,1196663,0,77697,183292,1168,90121,1548941,9136,21998,110676,3777,59980,-14556,188796,5884,0,5884,727,-300,0,0,3908,6897,0,708,0,-11701,2515,-21,0,0,0,-22983,13036,-21,0,-32935,-42924,614,-2592,1997,13820,-2126,28918,40631,222,-21,2494,13.3,5.5,1.68,2.19,16.85,16.72,3.39,0.93,5.61,13.11,14.15,7.07,25.39,19.36,2.57,279920.096,477149.096,-284.13,0,-288.4,83.64,41.73,58.65,47.86,19.57,0,0,-2.46,0.256,9.14,0,0,8.36,56.17,50.72,0.48,5.32,-0.95,1.68,14.34,5160.4,5145.59,0.85,5/6/2015,5/4/2016
Jun-15,4.084,1.797,1.638,1.03,1.03,11.883,-0.321,-0.316,0.375,32.634,24.932,51.06,56.24,11.34,1.32,6.45,4.63,1.46,2.89,40.1,26.83,-7.86,1.386,0.11,0.153,0.012,0.364,12226,-956,11270,10048,21318,300,7870,3107,4599,8549,0,-67,8549,-2763,32.32,5786,0,5719,356,1.04,1.03,5220.5,831,9380,19687,232247,902773,421005,0,0,8692,39628,25705,96585,1720617,1185828,0,82963,179751,1118,81399,1531059,9136,21649,114093,2068,60154,-15707,189558,5786,0,5786,831,-82,0,0,-9518,8823,0,470,0,-17561,-1651,-24,0,0,0,-35511,17669,-24,0,32688,14798,398,-1994,0,1356,-2220,-10793,-13253,-106,-24,-1675,13.68,4.73,1.72,2.26,15.98,15.87,3.47,0.97,5.57,13.05,14.13,7.08,24.14,19.58,2.53,289368.298,475060.298,-278.17,0,-282.38,83.39,42.11,58.12,48.02,22.99,0,0,-2.44,0.25,6.27,0,0,8.94,57.91,53.94,0.01,3.73,1.98,2.45,14.14,5151.9,5145.24,0.84,8/5/2015,8/3/2016
Sep-15,4.212,1.85,1.689,1.05,1.05,13.102,3.636,3.646,0.375,33.401,25.818,53.508,51.35,11.38,1.34,5.96,4.59,1.47,2.92,40.11,26.5,86.34,1.416,0.11,0.156,0.013,0.357,12445,-988,11457,10418,21875,703,7705,3196,4694,8773,0,-187,8773,-2790,31.8,5983,0,5796,353,1.06,1.05,5193.8,838,9611,17395,254811,913844,418968,0,0,8800,38739,25684,98708,1751265,1202179,0,88069,185274,992,81700,1558214,9136,22424,117593,2389,60998,-17899,193051,5983,0,5983,838,-261,0,0,6716,22060,0,347,0,-10291,18937,-51,0,0,0,-21938,16117,-51,0,-38384,-44307,442,-2137,975,9766,-2246,16278,23078,-2292,-51,18886,12.4,3.92,1.54,1.99,11.86,11.8,3.13,0.92,6.3,14.73,16.03,6.24,25.2,17.66,2.82,262319.935,541683.935,-301.62,0,-306.01,90.33,42.68,55.72,49.04,6.38,0,0,-3.36,0.262,6.05,0,0,8.88,58.52,50.02,0.71,5.43,2.94,6.44,13.46,5125.8,5108.47,0.96,11/4/2015,11/3/2016
Dec-15,4.169,1.747,1.575,1,1,11.944,-0.979,-0.971,0.375,33.539,25.211,58.338,54.36,10.78,1.26,4.88,4.43,1.48,2.9,37.78,25.83,-23.48,1.539,0.108,0.166,0.012,0.375,12643,-1055,11588,9998,21586,831,7818,3105,4781,8156,0,-48,8156,-2533,31.06,5623,0,5575,372,1.02,1,5178.3,892,9048,19111,270130,924896,412370,26251,0,8704,42405,25529,83765,1787632,1223312,59445,97528,199536,893,13920,1594634,9136,22214,120866,297,60714,-18867,192998,5623,0,5623,892,20,0,0,-3288,-1992,0,433,0,-9985,-5029,-39,0,0,0,-27122,21307,-39,0,-28909,-34802,272,-1974,0,24765,-2234,20718,41547,1716,-39,-5068,13.19,4.55,1.62,2.16,19.33,19.15,3.29,1.08,6.71,15.65,17.18,5.82,22.58,18.67,2.71,276808.187,577868.187,-309.4,0,-309.9,88.69,42.96,50.39,48.34,3.13,0,0,-2.52,0.269,6.45,0,0,7.73,55.97,51.26,0.32,2.66,-1.96,3.74,12.23,5108.3,5092.13,0.87,2/24/2016,3/1/2017
Mar-16,4.319,1.824,1.572,0.99,0.99,11.14,1.151,1.151,0.375,34.17,26.35,66.115,48.36,10.42,1.2,4.47,4.04,1.65,2.85,36.41,24.61,26.65,1.699,0.107,0.181,0.012,0.379,12972,-1305,11667,10528,22195,1086,8457,3039,4571,8081,0,-52,8081,-2567,31.77,5514,0,5462,377,1,0.99,5139.4,1295,9376,19084,300547,953958,408057,0,0,8349,39695,27003,119492,1849182,1241490,0,107703,227888,1008,73597,1651686,9136,24051,123891,1774,60602,-19687,197496,5514,0,5514,1295,0,0,0,990,2074,0,716,0,-3685,5914,0,0,-28904,0,-6316,21235,0,0,-36381,-50366,479,-2029,975,29586,-2244,17658,44425,-27,0,5914,11.88,4.34,1.42,1.84,13.87,13.78,2.88,1.08,6.75,15.69,17.49,5.72,23.38,16.3,3.1,245470.524,587036.524,-321.64,0,-326.38,88.69,43.64,44.73,49.12,-3.5,0,0,-2.53,0.288,6.44,0,0,6.19,52.91,45.16,0.32,6.43,-4.81,7.61,10.99,5075.7,5075.9,0.92,5/4/2016,5/5/2017
Jun-16,4.33,1.79,1.606,1.01,1.01,9.96,-1.56,-1.56,0.38,35.043,27.375,72.137,47.33,10.37,1.19,4.2,3.82,1.62,2.79,37.1,25.08,-36.03,1.805,0.107,0.193,0.012,0.376,13146,-1413,11733,10429,22162,1074,8202,3156,4664,8222,0,-15,8222,-2649,32.22,5573,0,5558,385,1.02,1.01,5118.1,938,9160,20407,295521,969643,433519,0,0,8289,38712,26963,123144,1889235,1245473,0,120258,243927,916,76916,1687490,9136,24830,127076,2948,60691,-21068,201745,5573,0,5573,938,0,0,0,1466,2602,0,460,0,-17559,-7986,0,0,-83,0,-34501,20589,0,0,-5143,-19138,316,-2214,1126,26977,-2259,4501,28447,1323,0,-7986,11.69,4.75,1.35,1.73,21.05,20.89,2.78,1.2,6.93,16.36,18.31,5.46,20.46,15.65,3.18,238945.032,608469.032,-330.21,0,-335.13,84.13,44.28,39.41,49.95,-8.06,0,0,-2.53,0.296,8.42,0,0,5.82,51.11,45.01,0.54,6.02,-1.94,-0.39,9.73,5066.9,5048.49,0.92,8/3/2016,8/3/2016
Sep-16,4.383,1.888,1.62,1.03,1.03,9.041,-0.479,-0.479,0.38,35.517,27.858,75.54,44.28,10.36,1.18,4.07,3.67,1.65,2.77,36.97,25.28,-10.93,1.869,0.105,0.195,0.012,0.369,13487,-1535,11952,10376,22328,805,8277,3483,4991,8255,0,-10,8255,-2601,31.51,5654,0,5644,401,1.04,1.03,5094.6,1365,9620,19287,298325,977349,476778,0,0,8322,38476,26688,123587,1942124,1275894,0,124668,254835,930,82769,1739096,9136,24594,130288,2184,60685,-22247,203028,5654,0,5654,1365,0,0,0,-1221,16766,0,298,0,-26524,-2441,0,0,-810,0,-52462,20474,0,0,-6886,-39684,229,-1839,0,14491,-2279,30403,41005,-1120,0,-2441,10.99,4.9,1.25,1.59,0,0,2.57,1.29,6.89,16.35,18.59,5.38,18.88,14.37,3.41,222457.849,608197.849,-342.33,0,-347.22,81.98,44.72,34.38,50.26,-10.45,0,0,-2.49,0.299,9.05,0,0,5.38,50.8,44.28,0.49,4.06,-1.9,2.05,8.53,5043.4,5023.89,0.9,11/3/2016,11/3/2016
Dec-16,4.25,1.759,1.489,0.96,0.96,15.414,0.922,0.922,0.38,34.894,26.168,70.146,55.11,9.68,1.09,3.87,4.55,1.81,2.85,35.04,24.44,21.69,1.763,0.103,0.182,0.011,0.396,14058,-1656,12402,9180,21582,805,8125,3437,5090,7562,0,-30,7562,-2258,29.86,5304,0,5274,402,0.97,0.96,5078.6,1372,8934,20729,266038,982574,482344,31056,0,8333,43767,26693,95274,1930115,1306079,57189,96781,255077,916,14492,1730534,9136,24551,133075,-3137,60234,-22713,199581,5304,0,5304,1372,0,0,0,-1940,30053,0,471,0,-32518,4682,0,0,-787,0,-55610,20323,0,0,23143,-12931,391,-2034,0,-16603,-2256,30193,9691,1442,0,4682,13.81,3.58,1.58,2.11,1620.88,1620.88,3.19,1.87,7.17,17.07,19.71,5.07,15.44,17.76,2.75,276437.822,633033.822,-340.86,0,-341.11,83.83,44.93,29.53,48.47,-4.13,0,0,-2.36,0.274,7.45,0,0,4.57,57.29,43.75,0.15,1.94,-4,0.69,7.4,5025.5,5016.11,0.97,3/1/2017,3/1/2017
Mar-17,4.339,1.744,1.5,1,1,18.65,2.602,2.602,0.38,35.173,26.924,70.213,55.66,10.08,1.12,4.16,4.7,2.19,2.82,34.57,24.8,59.95,1.744,0.103,0.18,0.011,0.38,14226,-1926,12300,9702,22002,605,9005,3209,4787,7605,0,-91,7605,-2057,27.05,5548,0,5457,401,1.01,1,5070.4,1237,8842,19698,308747,965312,487886,0,0,8320,41276,26666,120325,1951564,1325444,0,94871,256468,989,72292,1750064,9136,25501,136032,-3178,60585,-24030,201500,5548,0,5548,1237,0,0,0,-381,18419,0,740,0,-12753,13191,0,0,-46,0,-14937,16733,0,0,-31023,-29273,572,-2175,0,-26,-2267,18947,15051,-1031,0,13191,13.92,2.98,1.58,2.07,37.48,37.48,3.22,2.23,7.23,17.42,20.12,4.97,16.65,17.64,2.73,278515.404,636646.404,-345.81,0,-350.9,81.92,44.99,25,49.23,-3.5,0,0,-2.48,0.277,5.92,0,0,3.95,59.73,53.78,0.24,0.46,1.01,-4.39,6.25,5008.6,5003.87,1.03,5/5/2017,5/5/2017
Jun-17,4.401,1.659,1.603,1.07,1.07,0,0,0,0.38,36.129,27.922,67.292,0,10.63,1.2,4.44,0,2.6,2.86,36.42,26.21,0,1.629,0.106,0.173,0.011,0.355,14715,-2232,12483,9686,22169,555,8478,3541,5063,8073,0,-38,8073,-2225,27.56,5848,0,5810,406,1.08,1.07,5037.7,287,8360,20248,264706,971313,493201,0,0,8403,40761,26573,132239,1930871,1305830,0,95356,238869,915,84671,1725641,9136,25785,139524,-2110,60689,-25675,205230,5810,0,5848,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-343.36,0,-348.55,0,0,0,50.5,0,0,0,0,0.267,4.59,0,0,3.62,0,0,0.74,1.64,5.94,-7.32,0,4989.9,4966.77,0,7/14/2017,7/14/2017
Jun-17,4.401,1.659,1.603,1.07,1.07,0,0,0,0.38,36.129,27.922,67.292,0,10.63,1.2,4.44,0,2.6,2.86,36.42,26.21,0,1.629,0.106,0.173,0.011,0.355,14715,-2232,12483,9686,22169,555,8478,3541,5063,8073,0,-38,8073,-2225,27.56,5848,0,5810,406,1.08,1.07,5037.7,287,8360,20248,264706,971313,493201,0,0,8403,40761,26573,132239,1930871,1305830,0,95356,238869,915,84671,1725641,9136,25785,139524,-2110,60689,-25675,205230,5810,0,5848,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-343.36,0,-348.55,0,0,0,50.5,0,0,0,0,0.267,4.59,0,0,3.62,0,0,0.74,1.64,5.94,-7.32,0,4989.9,4966.77,0,7/15/2017,7/15/2017
